code,system
FyuP500,readv2
FyuP400,readv2
FyuP300,readv2
F522.00,readv2
F520300,readv2
F520z00,readv2
F51..00,readv2
F523.00,readv2
F520.00,readv2
F510.00,readv2
F514z00,readv2
F510z00,readv2
3819MP,readv2
3811D,readv2
F518.00,readv2
F52..00,readv2
F514.00,readv2
F521.00,readv2
F511z00,readv2
F511.00,readv2
F510100,readv2
F514100,readv2
FyuP100,readv2
F513z00,readv2
FyuP200,readv2
FyuP000,readv2
F528.00,readv2
F524000,readv2
f528.00,readv2
3819E,readv2
3811E,readv2
F510011,readv2
F511.11,readv2
F512.12,readv2
3811TR,readv2
F514200,readv2
3811AT,readv2
F513100,readv2
F513111,readv2
F524.00,readv2
SN30.11,readv2
F510000,readv2
F513.00,readv2
A552.00,readv2
F52z.00,readv2
3829,readv2
F512100,readv2
F511100,readv2
F510600,readv2
F510300,readv2
F510400,readv2
F513000,readv2
F514000,readv2
F510500,readv2
F512z00,readv2
F510200,readv2
F512.00,readv2
F514300,readv2
F526.00,readv2
3810ML,readv2
3810,readv2
F520100,readv2
F520000,readv2
F525.00,readv2
3811AR,readv2
F527.00,readv2
3810MR,readv2
3811A,readv2
